Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
"0,786074638366699","148,755407333374","150,492930412292","151,424193382263","153,549218177795","152,149200439453","156,596183776855","156,533718109131","178,346395492554","157,658576965332","165,72117805481","162,846326828003","173,97141456604","154,074239730835","155,971050262451","163,90872001648","151,26793384552","166,158676147461","175,78387260437","186,53416633606","112,323594093323","164,033651351929","163,283824920654","169,971227645874","170,158863067627","196,03419303894","177,221536636353","156,221151351929","165,908813476563","166,158676147461"
"0,788074493408203","149,517917633057","151,249194145203","152,317953109741","154,274225234985","152,805471420288","157,283544540405","157,533645629883","179,409027099609","158,721208572388","166,533708572388","163,846254348755","175,283908843994","154,805493354797","156,783580780029","164,346218109131","151,999187469482","167,096376419067","177,0339012146","187,159061431885","112,92359828949","164,908647537231","163,971185684204","170,096397399902","171,283960342407","196,971654891968","177,908897399902","156,846046447754","167,221307754517","166,908740997314"
"0,790074348449707","150,311660766602","152,074193954468","153,117966651917","155,055499076843","153,642964363098","157,596111297607","157,90867805481","180,659055709839","159,471273422241","167,533874511719","164,533853530884","176,033973693848","155,56800365448","157,471179962158","165,783882141113","152,69296169281","168,65873336792","178,221464157105","188,34662437439","113,604855537415","165,783882141113","164,721250534058","170,783758163452","172,096252441406","197,971820831299","178,971529006958","158,096075057983","167,533874511719","167,721271514893"
"0,792074680328369","151,080441474915","152,899217605591","153,949236869812","155,792999267578","154,367995262146","158,783674240112","159,096240997314","181,658983230591","160,471200942993","168,283700942993","165,658712387085","177,284002304077","155,846118927002","158,408641815186","166,533708572388","153,48048210144","169,658899307251","179,409027099609","189,721584320068","114,229869842529","166,596174240112","165,533781051636","171,908855438232","172,408819198608","199,284315109253","179,596424102783","158,846139907837","168,908834457397","168,971300125122"
"0,794074535369873","151,899194717407","153,617978096008","154,786729812622","156,158685684204","155,117988586426","159,658670425415","159,908771514893","182,658910751343","161,408662796021","168,908834457397","166,283845901489","178,034067153931","156,596183776855","159,283638000488","167,033672332764","154,20548915863","170,158863067627","180,533885955811","190,971612930298","114,829874038696","167,033672332764","165,783882141113","172,533988952637","173,283815383911","200,22177696228","180,721521377563","159,408569335938","169,471263885498","169,533729553223"
"0,796074867248535","152,624201774597","154,474234580994","155,618000030518","157,033681869507","155,855512619019","160,033702850342","160,533666610718","183,659076690674","161,783695220947","170,033931732178","167,346239089966","178,596496582031","157,596111297607","160,096168518066","168,033838272095","154,949235916138","171,283960342407","181,909084320068","192,284107208252","115,517401695251","168,408870697021","166,84627532959","173,096418380737","174,033880233765","200,846910476685","181,409120559692","160,158634185791","170,283794403076","170,283794403076"
"0,798074722290039","153,405475616455","155,280494689941","156,346082687378","157,971143722534","156,408548355103","161,158800125122","161,658763885498","184,471607208252","162,846326828003","170,596361160278","168,158769607544","179,721593856812","158,408641815186","160,84623336792","169,283866882324","155,68675994873","172,283887863159","182,846546173096","193,596601486206","116,223645210266","169,283866882324","167,471408843994","173,908948898315","174,783945083618","202,03423500061","182,409048080444","161,221265792847","170,721292495728","170,846462249756"
"0,800074577331543","154,249238967896","156,055521965027","156,846046447754","158,47110748291","157,033681869507","161,721229553223","162,033796310425","185,97149848938","163,533687591553","171,59628868103","169,158935546875","180,659055709839","159,221172332764","161,471128463745","169,908761978149","155,908584594727","173,408985137939","183,971643447876","194,471597671509","116,779899597168","169,908761978149","168,408870697021","174,659013748169","175,846338272095","202,659368515015","183,408975601196","161,346197128296","171,721458435059","171,783924102783"
"0,802074909210205","155,061745643616","156,408548355103","157,846212387085","159,283638000488","158,033609390259","162,471294403076","162,721157073975","186,221599578857","164,346218109131","172,533988952637","169,971227645874","181,846618652344","159,783601760864","162,096261978149","170,283794403076","156,846046447754","174,659013748169","185,471534729004","195,47176361084","117,467427253723","170,283794403076","169,346332550049","175,283908843994","176,658868789673","203,659296035767","183,908939361572","162,033796310425","172,221422195435","172,346353530884"
"0,804074764251709","155,780506134033","157,158613204956","158,596277236938","159,971237182617","158,721208572388","163,346290588379","163,846254348755","187,721490859985","165,283679962158","173,533916473389","170,533895492554","182,784080505371","160,84623336792","162,721157073975","171,408891677856","157,78374671936","175,78387260437","186,408996582031","196,596622467041","118,167424201965","171,283960342407","169,908761978149","176,221370697021","176,90896987915","204,534292221069","185,221672058105","162,596225738525","173,221349716187","173,346281051636"
